Date,Price,Open,High,Low,Vol.,Change %
10/21/2022,295.4,294,295.4,281,320.10K,1.79%
10/20/2022,290.2,298,298,290.2,259.99K,-2.75%
10/19/2022,298.4,291.4,299.8,291.4,349.72K,2.83%
10/18/2022,290.2,279.8,291.8,278.2,504.66K,4.69%
10/17/2022,277.2,269.6,277.2,265,540.75K,5.40%
10/14/2022,263,286,290,263,729.80K,-8.87%
10/13/2022,288.6,290.2,294.2,286,453.83K,0.49%
10/12/2022,287.2,301,303,287.2,410.89K,-2.84%
10/11/2022,295.6,300.4,300.6,295.2,252.29K,-1.53%
10/10/2022,300.2,301.4,308,300.2,145.40K,-1.57%
10/7/2022,295.4,294,295.4,281,320.10K,1.79%
10/6/2022,290.2,298,298,290.2,259.99K,-2.75%
10/5/2022,298.4,291.4,299.8,291.4,349.72K,2.83%
10/4/2022,290.2,279.8,291.8,278.2,504.66K,4.69%
10/3/2022,277.2,269.6,277.2,265,540.75K,5.40%
9/30/2022,263,286,290,263,729.80K,-8.87%
9/29/2022,288.6,290.2,294.2,286,453.83K,0.49%
9/28/2022,287.2,301,303,287.2,410.89K,-2.84%
9/27/2022,295.6,300.4,300.6,295.2,252.29K,-1.53%
9/23/2022,300.2,301.4,308,300.2,145.40K,-1.57%
9/22/2022,305,301,306.8,300,125.10K,0.00%
9/21/2022,305,301,305.6,300,282.40K,1.33%
9/20/2022,301,303.2,308,301,163.46K,-0.73%
9/19/2022,303.2,313,313,303.2,139.53K,-2.19%
9/16/2022,310,310,313.6,310,318.18K,0.00%
9/15/2022,310,310.2,314.4,310,137.85K,-0.06%
9/14/2022,310.2,315.2,317,310.2,248.61K,-2.15%
9/13/2022,317,317.8,318,315.6,177.49K,-0.31%
9/12/2022,318,318,320,315.4,161.37K,0.00%
9/9/2022,318,315.2,318.2,315.2,61.13K,0.89%
9/8/2022,315.2,313.6,317,311.2,173.15K,-0.69%
9/7/2022,317.4,317,319.8,312.2,55.96K,0.70%
9/6/2022,315.2,321,323,315.2,133.52K,-1.50%
9/5/2022,320,318,320,316,54.13K,0.63%
9/2/2022,318,311.6,318,311,130.14K,2.58%
9/1/2022,310,303,313.2,303,135.86K,2.92%
8/31/2022,301.2,311,316.8,301.2,515.44K,-3.15%
8/30/2022,311,313,318,310.2,454.87K,-0.89%
8/26/2022,313.8,318,318,312.6,205.25K,-1.32%
8/25/2022,318,318,320.4,316,155.25K,0.70%
8/24/2022,315.8,322,322.4,315.8,89.88K,-1.93%
8/23/2022,322,325,325,322,185.37K,-1.23%
8/22/2022,326,326,326.6,324,186.32K,0.00%
8/19/2022,326,325,326,322.6,207.61K,0.93%
8/18/2022,323,325,325.2,323,336.88K,-1.52%
8/17/2022,328,329,332,326.6,356.51K,1.23%
8/16/2022,324,324,327,322,340.15K,0.12%
8/15/2022,323.6,329,329.8,323.6,353.33K,-1.64%
8/12/2022,329,325,329,320.2,276.96K,1.23%
8/11/2022,325,316,325,315.6,291.54K,4.37%
8/10/2022,311.4,314,316.2,311,589.02K,-1.14%
8/9/2022,315,319.8,322.8,312.8,705.97K,-1.50%
8/8/2022,319.8,316.6,319.8,316,262.32K,1.20%
8/5/2022,316,319,324.4,316,541.96K,-0.19%
8/4/2022,316.6,313.4,318.2,310.2,763.39K,1.47%
8/3/2022,312,324.6,326.6,310,973.69K,-3.11%
8/2/2022,322,327.4,333.2,320.2,520.37K,-1.59%
8/1/2022,327.2,340,340,325.6,781.11K,-3.76%
7/29/2022,340,348,350,338,1.58M,-7.10%
7/28/2022,366,364.2,366,362.2,328.23K,0.00%
7/27/2022,366,359,366,355.2,138.59K,2.23%
7/26/2022,358,354,358.8,354,82.27K,1.13%
7/25/2022,354,352.8,354,350,75.09K,0.00%
7/22/2022,354,354,354.8,352.2,168.02K,-0.23%
7/21/2022,354.8,359,359.6,351.4,248.65K,-0.67%
7/20/2022,357.2,369,369,357.2,370.09K,-3.35%
7/19/2022,369.6,356,369.6,356,135.88K,1.82%
7/18/2022,363,360,363,358.2,108.62K,0.00%
7/15/2022,363,353.8,363,350,240.53K,2.54%
7/14/2022,354,347.2,354,347.2,222.94K,1.14%
7/13/2022,350,353.8,354,346,223.10K,-1.07%
7/12/2022,353.8,354,354,353,69.33K,-0.06%
7/11/2022,354,351,354,347.2,63.38K,1.14%
7/8/2022,350,350.2,358,346.4,327.44K,0.00%
7/7/2022,350,358,359,350,131.61K,-2.23%
7/6/2022,358,358.6,359.8,353.6,124.41K,-0.28%
7/5/2022,359,351,359,351,83.91K,2.28%
7/4/2022,351,353,355.8,351,75.71K,-0.57%
7/1/2022,353,358,358,351,576.00K,-1.94%
6/30/2022,360,355,360,349,239.18K,1.41%
6/29/2022,355,360,360,352.6,130.55K,-0.84%
6/28/2022,358,352.2,359.8,352.2,243.87K,1.42%
6/27/2022,353,357,358,353,124.43K,-1.12%
6/24/2022,357,370,372.8,357,637.87K,-3.51%
6/23/2022,370,371,372,368.4,184.34K,-0.32%
6/22/2022,371.2,372,373,369.4,172.34K,0.05%
6/21/2022,371,369.6,371.6,365.2,418.92K,0.43%
6/20/2022,369.4,365,369.4,362,83.85K,1.21%
6/17/2022,365,363.8,366.8,358,319.78K,0.00%
6/16/2022,365,358,365,357,146.18K,1.39%
6/15/2022,360,357.4,360,356.4,122.19K,0.00%
6/14/2022,360,360.2,360.2,357,72.35K,0.00%
6/13/2022,360,360.2,360.2,357.2,101.32K,-0.11%
6/10/2022,360.4,368.8,368.8,359,169.59K,-2.59%
6/9/2022,370,363,370,359,94.77K,1.93%
6/8/2022,363,362,367.8,361.2,144.16K,0.55%
6/7/2022,361,361.2,363,360,137.10K,-0.06%
6/6/2022,361.2,369,369,358.2,129.69K,-2.11%
6/3/2022,369,360.4,370,360,168.72K,1.93%
6/2/2022,362,362,364.8,361,65.86K,0.00%
6/1/2022,362,373.2,373.2,360.4,198.67K,-3.00%
5/31/2022,373.2,372,374.8,364,1.07M,0.32%
5/30/2022,372,359.6,372,356,423.57K,3.33%
5/27/2022,360,359.6,360,352.2,101.00K,0.00%
5/26/2022,360,341,360,341,307.00K,5.88%
5/25/2022,340,351.4,351.4,340,262.14K,-0.87%
5/24/2022,343,350,352,342.8,158.07K,-2.00%
5/23/2022,350,360,360,346,149.34K,-2.78%
5/20/2022,360,345,360,344.8,277.80K,2.56%
5/19/2022,351,348,359.2,341,298.45K,-2.50%
5/18/2022,360,330,360,330,580.78K,9.09%
5/17/2022,330,330.4,332,330,263.70K,-0.12%
5/16/2022,330.4,335,335,330,242.73K,0.06%
5/13/2022,330.2,333,339.8,330.2,353.31K,-1.08%
5/12/2022,333.8,333.2,340,331.2,181.18K,0.18%
5/11/2022,333.2,340,340,333.2,212.96K,-2.86%
5/10/2022,343,335,343,330,404.49K,-0.29%
5/6/2022,344,340,344.8,335.6,321.85K,0.88%
5/5/2022,341,337,345,335,161.82K,0.95%
5/4/2022,337.8,350,350,333.2,444.71K,-3.49%
5/2/2022,350,352.2,354.8,346,41.00K,-0.68%
4/29/2022,352.4,357.8,359.8,347,308.55K,-1.51%
4/28/2022,357.8,351,358.8,347.2,303.42K,2.23%
4/27/2022,350,346.6,350,342,225.67K,0.86%
4/26/2022,347,340.4,349.6,340,194.30K,1.34%
4/25/2022,342.4,339,343.6,333.6,209.84K,0.71%
4/22/2022,340,351,355,340,379.67K,-3.35%
4/21/2022,351.8,356,358.4,347.6,312.49K,-1.07%
4/20/2022,355.6,357,359.8,355,266.87K,-0.39%
4/19/2022,357,362,367,357,212.57K,-1.38%
4/18/2022,362,362,362.8,358.8,115.82K,-0.06%
4/13/2022,362.2,363.2,365.8,361.6,112.13K,-0.28%
4/12/2022,363.2,371.6,372.4,363.2,677.36K,-2.47%
4/11/2022,372.4,373.8,374,370.2,296.95K,-0.43%
4/8/2022,374,370,374,370,231.22K,0.38%
4/7/2022,372.6,372.8,373.2,367,324.79K,1.53%
4/6/2022,367,373.8,373.8,367,204.20K,-1.87%
4/5/2022,374,373.2,374,368.4,178.10K,0.05%
4/4/2022,373.8,371,373.8,371,126.48K,0.00%
4/1/2022,373.8,370,373.8,370,174.31K,0.05%
3/31/2022,373.6,368,373.6,368,260.74K,1.47%
3/30/2022,368.2,371.6,373.2,367.2,249.89K,-0.75%
3/29/2022,371,373.8,373.8,367,186.36K,-0.59%
3/28/2022,373.2,369,373.2,360.2,238.46K,1.14%
3/25/2022,369,372.6,372.6,364,111.06K,-2.64%
3/24/2022,379,373.8,379.8,373,354.14K,1.34%
3/23/2022,374,369.8,374,364.2,128.98K,1.14%
3/22/2022,369.8,359,380.8,358.6,871.85K,3.01%
3/21/2022,359,359,362.6,359,481.49K,0.22%
3/18/2022,358.2,377,378,358.2,1.42M,-5.24%
3/17/2022,378,380,380,372,285.72K,-0.53%
3/16/2022,380,360,380,355.6,434.70K,5.56%
3/15/2022,360,356,360.6,354.6,339.35K,1.64%
3/14/2022,354.2,370,370,354.2,313.99K,-4.27%
3/11/2022,370,374.6,374.6,366,201.46K,-1.23%
3/10/2022,374.6,374,375.2,362,263.11K,0.70%
3/9/2022,372,361,377.6,360.8,684.19K,3.33%
3/8/2022,360,355,361.6,353,415.93K,1.41%
3/7/2022,355,364,364,352.4,272.65K,-2.63%
3/4/2022,364.6,358.2,364.6,358.2,126.10K,0.94%
3/3/2022,361.2,355,362,354,298.89K,3.20%
3/2/2022,350,365,367.2,350,550.56K,-4.89%
3/1/2022,368,369,375,365.4,429.18K,0.00%
2/28/2022,368,361,368,361,519.01K,1.38%
2/24/2022,363,364.8,367,361,355.57K,-0.82%
2/23/2022,366,365,366,361.2,203.52K,0.00%
2/22/2022,366,362.8,366,360.2,201.13K,0.27%
2/21/2022,365,363.6,365,359.4,286.09K,0.39%
2/18/2022,363.6,362,363.6,356.4,180.90K,0.44%
2/17/2022,362,361,362,356.4,105.18K,0.28%
2/16/2022,361,356,361.6,353.4,210.89K,0.56%
2/15/2022,359,362,363,351.2,372.86K,-0.83%
2/14/2022,362,344.6,362,337,319.07K,4.32%
2/11/2022,347,353,357,344,496.69K,-0.86%
2/10/2022,350,355,358,345,400.95K,-2.51%
2/9/2022,359,350,360.4,350,253.04K,2.57%
2/8/2022,350,341.4,356.8,341.4,288.15K,2.82%
2/7/2022,340.4,348,353.8,340.4,216.14K,-1.33%
2/4/2022,345,336.8,365,335.2,845.25K,2.43%
2/3/2022,336.8,330.8,337.2,330,226.98K,2.31%
2/2/2022,329.2,335,335,329.2,143.64K,-1.73%
1/31/2022,335,323,335,323,235.93K,3.72%
1/28/2022,323,325,327,323,126.41K,-1.22%
1/27/2022,327,324,327,321,306.85K,0.62%
1/26/2022,325,324.8,325,320,111.75K,0.18%
1/25/2022,324.4,315,325,314.8,344.80K,2.98%
1/24/2022,315,315,315,311,105.74K,0.00%
1/21/2022,315,310,315,310,67.02K,1.03%
1/20/2022,311.8,311,313,309.8,73.55K,0.91%
1/19/2022,309,313,313.6,309,155.84K,-1.47%
1/18/2022,313.6,309.4,314,309.4,102.50K,1.36%
1/17/2022,309.4,306,313,305.8,258.92K,0.85%
1/14/2022,306.8,306.8,307,305.4,164.40K,-0.07%
1/13/2022,307,307,307,305,113.28K,0.00%
1/12/2022,307,306.2,307,304.4,180.35K,0.26%
1/11/2022,306.2,306,306.4,303,192.23K,-0.07%
1/10/2022,306.4,306,307,304,136.03K,0.13%
1/7/2022,306,305,306,301.2,137.40K,0.33%
1/6/2022,305,303,305,301,188.65K,0.66%
1/5/2022,303,299.6,303,298.6,117.64K,1.81%
1/3/2022,297.6,295.2,299,295.2,60.65K,0.81%
12/31/2021,295.2,300,300,295.2,108.08K,-1.60%
12/29/2021,300,302,302.6,299,150.97K,-0.66%
12/28/2021,302,301,302.4,300.8,70.78K,0.33%
12/27/2021,301,299,301.4,298,86.77K,0.67%
12/24/2021,299,304,304,299,55.94K,-0.99%
12/23/2021,302,303,304,300,89.37K,-0.33%
12/22/2021,303,303.2,303.8,299.6,92.07K,1.34%
12/21/2021,299,304.8,304.8,299,95.39K,-1.90%
12/20/2021,304.8,306,307,299,190.68K,-0.72%
12/17/2021,307,305,307,300.8,399.45K,0.66%
12/16/2021,305,299,305,297.4,941.54K,2.21%
12/15/2021,298.4,299,299,296.4,168.37K,-0.33%
12/14/2021,299.4,297.2,299.4,296,182.85K,0.54%
12/13/2021,297.8,297,298.8,295,165.14K,0.34%
12/10/2021,296.8,297,297,294.4,126.43K,-0.07%
12/9/2021,297,293.2,297.4,292.8,97.57K,1.71%
12/7/2021,292,295.2,296.8,292,60.83K,-1.02%
12/6/2021,295,295,297,294.2,176.56K,0.00%
12/3/2021,295,299.8,299.8,295,215.19K,-1.60%
12/2/2021,299.8,295,299.8,292.4,425.40K,0.60%
12/1/2021,298,289.2,299,287,1.52M,3.47%
11/29/2021,288,293,296,288,754.43K,-2.04%
11/26/2021,294,299,300.4,294,169.21K,-2.33%
11/25/2021,301,299,301,299,144.79K,0.33%
11/24/2021,300,303,303,299,96.60K,-0.99%
11/23/2021,303,295.4,303,295.2,365.81K,2.30%
11/22/2021,296.2,296,300,295.6,167.19K,-1.27%
11/19/2021,300,296,300,294.8,235.88K,1.63%
11/18/2021,295.2,302.8,302.8,295.2,275.59K,-2.45%
11/17/2021,302.6,298.6,302.6,297,304.36K,1.34%
11/16/2021,298.6,297.8,298.6,297.2,179.49K,0.27%
11/15/2021,297.8,298,298.4,297.2,132.46K,-0.07%
11/12/2021,298,298.4,298.4,296,126.77K,-0.27%
11/11/2021,298.8,297.6,298.8,295.4,169.42K,0.40%
11/10/2021,297.6,297,298,295,118.13K,0.20%
11/9/2021,297,299,299,297,158.93K,-0.67%
11/8/2021,299,295,299,294.6,110.57K,1.36%
11/5/2021,295,293,295,292.4,173.35K,0.68%
11/4/2021,293,287,293,287,229.74K,2.45%
11/3/2021,286,294,294.2,286,195.68K,-0.35%
11/2/2021,287,293,293.6,287,675.46K,0.00%
10/29/2021,287,293,293,287,404.69K,-2.05%
10/28/2021,293,294.6,294.8,292.4,110.22K,-0.68%
10/27/2021,295,295,295,294,105.26K,0.00%
10/26/2021,295,294.4,295,293.8,58.16K,0.55%
10/25/2021,293.4,294.6,295.8,293.4,59.14K,-0.41%
10/22/2021,294.6,296.6,296.8,292.2,159.92K,-0.67%
10/21/2021,296.6,296,296.8,294.4,348.81K,0.95%
10/20/2021,293.8,297.6,298.2,291,188.84K,-1.41%
10/19/2021,298,298.6,299.2,297,135.51K,-0.20%
